State,Year,Count
AL,2016.0,135
AL,2017.0,2904
AL,2018.0,14100
AL,2019.0,19238
AL,2020.0,19972
AL,2021.0,22211
AL,2022.0,16719
AL,2023.0,611
AR,2016.0,26
AR,2017.0,134
AR,2018.0,598
AR,2019.0,991
AR,2020.0,2966
AR,2021.0,6392
AR,2022.0,6513
AR,2023.0,765
AZ,2016.0,2770
AZ,2017.0,12329
AZ,2018.0,22706
AZ,2019.0,24529
AZ,2020.0,29231
AZ,2021.0,30068
AZ,2022.0,28176
AZ,2023.0,4180
CA,2016.0,140452
CA,2017.0,152081
CA,2018.0,156898
CA,2019.0,213455
CA,2020.0,281658
CA,2021.0,306030
CA,2022.0,266275
CA,2023.0,50287
CO,2016.0,1324
CO,2017.0,7105
CO,2018.0,14149
CO,2019.0,17620
CO,2020.0,13843
CO,2021.0,10690
CO,2022.0,15222
CO,2023.0,2882
CT,2016.0,4210
CT,2017.0,6742
CT,2018.0,6421
CT,2019.0,5457
CT,2020.0,9126
CT,2021.0,14434
CT,2022.0,14288
CT,2023.0,1712
DC,2016.0,454
DC,2017.0,763
DC,2018.0,955
DC,2019.0,1487
DC,2020.0,2570
DC,2021.0,4163
DC,2022.0,4893
DC,2023.0,471
DE,2016.0,281
DE,2017.0,891
DE,2018.0,1644
DE,2019.0,1620
DE,2020.0,2448
DE,2021.0,3514
DE,2022.0,2299
DE,2023.0,106
FL,2016.0,37060
FL,2017.0,60706
FL,2018.0,65781
FL,2019.0,60313
FL,2020.0,127108
FL,2021.0,213597
FL,2022.0,186101
FL,2023.0,14959
GA,2016.0,13249
GA,2017.0,22071
GA,2018.0,24632
GA,2019.0,23718
GA,2020.0,23083
GA,2021.0,19286
GA,2022.0,24509
GA,2023.0,5774
IA,2016.0,2005
IA,2017.0,3016
IA,2018.0,2483
IA,2019.0,2842
IA,2020.0,3559
IA,2021.0,6243
IA,2022.0,3521
IA,2023.0,322
ID,2016.0,419
ID,2017.0,364
ID,2018.0,419
ID,2019.0,554
ID,2020.0,2230
ID,2021.0,4091
ID,2022.0,1553
ID,2023.0,178
IL,2016.0,17079
IL,2017.0,25310
IL,2018.0,24088
IL,2019.0,19969
IL,2020.0,24939
IL,2021.0,27575
IL,2022.0,19463
IL,2023.0,2994
IN,2016.0,1623
IN,2017.0,6947
IN,2018.0,13708
IN,2019.0,7772
IN,2020.0,7702
IN,2021.0,12080
IN,2022.0,10641
IN,2023.0,1015
KS,2016.0,762
KS,2017.0,1737
KS,2018.0,2406
KS,2019.0,1995
KS,2020.0,2600
KS,2021.0,3529
KS,2022.0,4611
KS,2023.0,643
KY,2016.0,1068
KY,2017.0,3282
KY,2018.0,7952
KY,2019.0,6832
KY,2020.0,5548
KY,2021.0,4586
KY,2022.0,2426
KY,2023.0,52
LA,2016.0,849
LA,2017.0,12233
LA,2018.0,20430
LA,2019.0,18980
LA,2020.0,25914
LA,2021.0,30847
LA,2022.0,24488
LA,2023.0,2056
MA,2016.0,5200
MA,2017.0,9046
MA,2018.0,9427
MA,2019.0,9349
MA,2020.0,11084
MA,2021.0,11333
MA,2022.0,6005
MA,2023.0,77
MD,2016.0,7542
MD,2017.0,12341
MD,2018.0,11019
MD,2019.0,12462
MD,2020.0,23865
MD,2021.0,28376
MD,2022.0,26034
MD,2023.0,2152
ME,2016.0,135
ME,2017.0,591
ME,2018.0,703
ME,2019.0,636
ME,2020.0,280
ME,2021.0,243
ME,2022.0,105
MI,2016.0,16652
MI,2017.0,27469
MI,2018.0,24325
MI,2019.0,20360
MI,2020.0,15575
MI,2021.0,21983
MI,2022.0,21005
MI,2023.0,3356
MN,2016.0,2567
MN,2017.0,10434
MN,2018.0,20227
MN,2019.0,29607
MN,2020.0,38558
MN,2021.0,37906
MN,2022.0,26514
MN,2023.0,6075
MO,2016.0,3758
MO,2017.0,7386
MO,2018.0,8785
MO,2019.0,9133
MO,2020.0,10245
MO,2021.0,14241
MO,2022.0,14291
MO,2023.0,1568
MS,2016.0,402
MS,2017.0,1037
MS,2018.0,2539
MS,2019.0,1984
MS,2020.0,1985
MS,2021.0,3054
MS,2022.0,2569
MS,2023.0,196
MT,2016.0,62
MT,2017.0,133
MT,2018.0,152
MT,2019.0,157
MT,2020.0,2335
MT,2021.0,8019
MT,2022.0,9631
MT,2023.0,1415
NC,2016.0,6147
NC,2017.0,34108
NC,2018.0,56262
NC,2019.0,45999
NC,2020.0,48034
NC,2021.0,60128
NC,2022.0,53044
NC,2023.0,6149
ND,2016.0,3
ND,2017.0,4
ND,2018.0,19
ND,2019.0,17
ND,2020.0,376
ND,2021.0,1318
ND,2022.0,821
ND,2023.0,162
NE,2016.0,5811
NE,2017.0,6203
NE,2018.0,5850
NE,2019.0,4645
NE,2020.0,2476
NE,2021.0,2125
NE,2022.0,1132
NE,2023.0,65
NH,2016.0,315
NH,2017.0,2036
NH,2018.0,2511
NH,2019.0,2219
NH,2020.0,1496
NH,2021.0,1118
NH,2022.0,474
NJ,2016.0,7953
NJ,2017.0,14110
NJ,2018.0,14990
NJ,2019.0,13018
NJ,2020.0,18294
NJ,2021.0,22592
NJ,2022.0,29943
NJ,2023.0,3188
NM,2016.0,153
NM,2017.0,1140
NM,2018.0,2112
NM,2019.0,1616
NM,2020.0,1416
NM,2021.0,2192
NM,2022.0,1162
NM,2023.0,68
NV,2016.0,1357
NV,2017.0,2492
NV,2018.0,2663
NV,2019.0,3001
NV,2020.0,2417
NV,2021.0,3892
NV,2022.0,3131
NV,2023.0,788
NY,2016.0,20097
NY,2017.0,36986
NY,2018.0,38050
NY,2019.0,42967
NY,2020.0,48146
NY,2021.0,50257
NY,2022.0,66498
NY,2023.0,7350
OH,2016.0,11331
OH,2017.0,13656
OH,2018.0,17659
OH,2019.0,13235
OH,2020.0,17191
OH,2021.0,13906
OH,2022.0,20338
OH,2023.0,3449
OK,2016.0,570
OK,2017.0,9758
OK,2018.0,20488
OK,2019.0,20483
OK,2020.0,13588
OK,2021.0,8927
OK,2022.0,7273
OK,2023.0,419
OR,2016.0,1026
OR,2017.0,6143
OR,2018.0,22520
OR,2019.0,41198
OR,2020.0,33911
OR,2021.0,33441
OR,2022.0,20579
OR,2023.0,3990
PA,2016.0,21232
PA,2017.0,26905
PA,2018.0,22230
PA,2019.0,20100
PA,2020.0,42275
PA,2021.0,63763
PA,2022.0,57583
PA,2023.0,7120
RI,2016.0,1409
RI,2017.0,2865
RI,2018.0,3259
RI,2019.0,2976
RI,2020.0,2377
RI,2021.0,2326
RI,2022.0,1374
RI,2023.0,34
SC,2016.0,3015
SC,2017.0,28333
SC,2018.0,56358
SC,2019.0,58997
SC,2020.0,62105
SC,2021.0,73251
SC,2022.0,63161
SC,2023.0,5812
SD,2016.0,8
SD,2017.0,12
SD,2018.0,13
SD,2019.0,27
SD,2020.0,153
SD,2021.0,27
SD,2022.0,22
TN,2016.0,1688
TN,2017.0,11017
TN,2018.0,24474
TN,2019.0,21135
TN,2020.0,28118
TN,2021.0,35751
TN,2022.0,28039
TN,2023.0,1676
TX,2016.0,49769
TX,2017.0,85588
TX,2018.0,84111
TX,2019.0,78718
TX,2020.0,72478
TX,2021.0,93003
TX,2022.0,71725
TX,2023.0,9415
UT,2016.0,968
UT,2017.0,4652
UT,2018.0,11187
UT,2019.0,24761
UT,2020.0,16082
UT,2021.0,17662
UT,2022.0,12590
UT,2023.0,1545
VA,2016.0,6493
VA,2017.0,20743
VA,2018.0,27043
VA,2019.0,25713
VA,2020.0,43863
VA,2021.0,60271
VA,2022.0,69801
VA,2023.0,7718
VT,2016.0,17
VT,2017.0,155
VT,2018.0,188
VT,2019.0,225
VT,2020.0,186
VT,2021.0,113
VT,2022.0,37
WA,2016.0,9315
WA,2017.0,18409
WA,2018.0,18984
WA,2019.0,14718
WA,2020.0,13111
WA,2021.0,14959
WA,2022.0,11567
WA,2023.0,1321
WI,2016.0,1562
WI,2017.0,4111
WI,2018.0,5039
WI,2019.0,6889
WI,2020.0,3929
WI,2021.0,3007
WI,2022.0,5661
WI,2023.0,1371
WV,2016.0,429
WV,2017.0,700
WV,2018.0,671
WV,2019.0,473
WV,2020.0,1123
WV,2021.0,3273
WV,2022.0,3610
WV,2023.0,789
WY,2016.0,69
WY,2017.0,112
WY,2018.0,198
WY,2019.0,112
WY,2020.0,29
WY,2021.0,640
WY,2022.0,1389
WY,2023.0,277
