Street,Start_Lat,Start_Lng
 E Historic Columbia River Hwy,45.55981,-122.17327
 E Larch Mountain Rd,45.53161,-122.25303999999998
N Fork County Rd,37.23915,-112.83237
I-95 S,26.1071,-80.16878
Zion Park Blvd,37.217042,-112.976099
LBJ Express,32.92409,-96.77748
I-95 S,25.93206,-80.20382
I-95 N,25.9406,-80.19075
I-95 S,25.96417000000001,-80.16585500000002
I-95 S,25.98899,-80.16585
Whittier Blvd,34.03853,-118.22796
I-270 Spur N,39.01045,-77.1508
I-95 S,25.92602,-80.21037
I-84 E,41.550794,-73.056936
NW 7th Ave,25.81365,-80.20711999999997
US-209 N,40.96295900000001,-75.274372
Airport Expy E,25.81245,-80.21472
I-95 S,25.910774,-80.210011
I-95 S,25.9321,-80.20384
 Genoa Red Bluff Rd,29.6307,-95.16875
 Genoa Red Bluff Rd,29.630513,-95.171997
 E Historic Columbia River Hwy,45.53767,-122.37873
US-209 N,40.95585,-75.28621
Hutchinson River Pkwy S,40.97693,-73.75851999999998
Highway 119,39.74628,-105.39773999999998
 Lafayette Ave,40.99462,-74.04448000000002
Airport Expy E,25.81242,-80.21219
Augusta Rd,33.97805,-81.194801
 W 26th St,41.84537,-87.63495
 NW 3rd Ave,36.338267,-119.292532
I-74 E,40.12402,-87.25007
 Deal Ave,41.63655,-83.49812
 Pontook Estates Rd,44.609723,-71.218763
N Broad St,39.46273,-75.72142
I-95 S,25.927702,-80.206787
I-95 N,25.95014,-80.18196
Hyatt St,35.082802,-81.705956
GA-407 S,33.760464,-84.493477
 US Highway 6,41.442817,-85.96171
 NW 12th St,25.78325,-80.34102299999998
15th View St,36.96709,-76.29361
 US Highway 6,41.4429,-85.944087
S Mooney Blvd,36.29110900000001,-119.31355
I-95 N,25.82432,-80.20647
I-80 W,41.01495,-76.48455
Hampton Roads Bltwy,36.96673,-76.294566
Capital Beltway S,39.01554,-77.12223
 W Noble Ave,36.326553,-119.313722
I-476 S,40.48062,-75.46099
I-95 N,25.942879,-80.187675
Sheridan St,26.03348,-80.164429
 Angeles Crest Hwy,34.37332,-117.7524
I-55 N,41.40196,-88.19339000000002
I-95 S,26.05699,-80.16263000000002
I-95 N,25.812199,-80.20585600000003
Lincoln Tunl E,40.76962,-74.02584
GA-401 N,33.778721000000004,-84.390709
Bridge St,43.05866,-76.06705
 N Pacific Hwy,45.04322,-123.20711
I-95 S,25.927807,-80.20663499999998
I-476 S,41.30758,-75.75929000000002
E Olive Ave,36.75773,-119.7545
Ocean Gtwy,38.33788,-75.11158
 US Highway 6,39.75425362568019,-105.2376830572832
I-95 S,25.789072,-80.204353
I-70 E,39.64614,-106.31176
Spout Run Pkwy,38.89591,-77.09614
Richmond Petersburg Tpke S,37.39872,-77.42434
W Mineral King Ave,36.32751,-119.314174
I-405 S,33.73072,-117.98667
I-78 W,40.50024000000001,-76.1825
 Patchen Rd,41.63658,-83.49476999999997
I-95 S,25.98801,-80.1657
 N State Route 741,39.43794000000001,-84.27946
I-95 N,25.949511,-80.182727
I-84 W,41.35844,-75.06259
FDR Dr N,40.75974,-73.95789
Seaver St,42.3042,-71.08244
I-20 E,34.011436,-81.148201
Santa Cruz Hwy,37.14435,-121.98468
Long Island Expy E,40.73547,-73.85982
US-6 W,39.52518,-106.21529
 Blue Hill Ave,42.30345,-71.08521999999998
CO-9,39.62763,-106.06916
 N Court St,36.333775,-119.292384
 E Historic Columbia River Hwy,45.56069,-122.17204
US-15,41.23555,-77.04541999999998
I-95 N,39.812,-75.457
 Park Blvd,37.80432,-122.23331
 Rawson St SW,33.74488,-84.39703
US-322 E,40.26356,-76.81451
I-84 E,45.6407,-118.687995
US-22 W,40.45587,-76.3807
FDR Dr N,40.76878,-73.94906
 Weymouth Rd,39.54482,-75.04881
US-6 W,39.5114,-106.14452
 W Houston Ave,36.341821,-119.296705
 W Ferguson Ave,36.349525,-119.296962
 Ellis St NE,33.75836,-84.3822
CA-330 N,34.13308,-117.19431000000002
