City,Accident_Count
Sacramento,151
Houston,115
Lebec,110
Bakersfield,99
Lexington,97
Grants Pass,93
Glenwood Springs,91
Wolf Creek,71
Orlando,62
Covington,61
Petaluma,57
Placerville,56
Hanford,56
Lancaster,54
Merced,52
West Chester,51
Stockton,50
Manor,50
Tehachapi,48
Shingle Springs,42
Meridian,40
Greenville,39
Fairfield,37
Alta,36
San Rafael,35
Coatesville,35
Forsyth,35
Visalia,34
Tulare,34
Rye,34
Lafayette,33
Austin,33
Grass Valley,33
Madera,32
Lake City,32
Columbia,32
Baton Rouge,31
Malvern,30
Natural Bridge,29
Novato,28
Sonoma,28
Jackson,27
Tampa,27
Wilderville,27
Sumter,26
Exton,26
Clifton Forge,26
Soda Springs,26
Downingtown,25
Pioneer,23
Aston,22
Dos Palos,22
Roseville,22
Summerville,22
Pollock Pines,22
Los Angeles,21
Monterey,21
Modesto,21
Tracy,21
Dixon,21
Cincinnati,20
Pflugerville,20
Charlotte,20
Grinnell,20
Atwater,20
Jacksonville,20
Laurens,19
Los Banos,19
San Diego,19
Raleigh,19
Pueblo,19
Des Moines,19
Turlock,18
Walsenburg,18
Temecula,18
Goshen,17
Manassas,17
Garberville,17
San Antonio,17
New Orleans,17
Hollister,17
Duluth,17
Indianapolis,16
Nevada City,16
Clearwater,16
Norwalk,15
Calhan,15
Frazier Park,15
Keene,15
Klamath Falls,15
Saint Cloud,15
Pendleton,15
Clinton,14
Delhi,14
Gilroy,14
Springfield,14
Saint Paul,14
Manheim,14
Selma,14
Saint Regis,14
Lithonia,14
Louisa,14
Kissimmee,13
Elkton,13
Lathrop,13
Pine Grove,13
Shafter,13
York,13
Kingsburg,13
Mill Valley,13
Custer,13
Ocala,13
Bernville,13
Stevensville,12
Fort Garland,12
Gustine,12
Miami,12
Columbus,12
Woodland,12
Pittsburgh,12
Conshohocken,12
Anderson,12
Lakeville,12
Quincy,12
Glendale,12
Crestview,12
Plymouth,12
Camden,12
Cortlandt Manor,11
Elk Grove,11
Portland,11
French Camp,11
Fort Lauderdale,11
El Dorado Hills,11
Colfax,11
Jasper,11
Miles City,11
Auburn,11
St Joseph,11
Corcoran,11
Altoona,11
Dallas,11
Lodi,11
Gaffney,11
Chowchilla,10
Memphis,10
Porterville,10
Whittier,10
Winchester,10
Flagstaff,10
